time,pcb,xiapmi
0,-16.450333,10.87663078
4,-14.936766,17.42087555
9,-8.043247,15.43961239
14,1.760976,10.44097424
19,9.978866,1.175941825
24,15.921555,-9.40750885
29,16.246584,-15.54742813
33,13.161237,-16.46626472
38,4.152605,-12.7215004
43,-6.631556,-4.722293377
48,-13.91802,4.193415165
53,-16.013727,10.97467995
58,-13.229153,17.44246864
62,-8.746668,15.42293739
67,1.101217,10.35002232
72,9.653837,1.135255218
77,15.164772,-9.484084129
82,16.586166,-15.54025555
87,12.399602,-16.47345161
91,4.147754,-12.63763237
96,-6.752835,-4.719748974
101,-14.684505,4.274871349
106,-16.581315,10.96038246
111,-14.475905,17.51186943
116,-5.792302,15.36543751
120,1.135175,10.30461597
125,8.989226,1.010840774
130,15.213283,-9.500803947
135,16.042834,-15.57378674
140,11.865973,-16.48534203
145,3.206626,-12.64958668
149,-6.573342,-4.580948353
154,-13.743377,4.250960827
159,-16.105899,11.10395813
164,-14.155727,17.46391106
169,-5.680725,15.34626389
174,2.304308,10.27825546
178,8.605984,0.9510186911
183,14.369179,-9.641969681
188,16.135007,-15.56176567
193,13.020552,-16.46617317
198,3.686893,-12.58494091
203,-8.213039,-4.530695438
207,-14.053853,4.303609371
212,-16.56191,11.13985825
217,-14.364328,17.47599602
222,-6.956584,15.29614067
227,1.615441,10.22562122
232,10.682286,0.9127401114
236,14.199388,-9.668314934
241,16.164114,-15.61202145
246,13.209748,-16.48054123
251,3.740256,-12.5155468
256,-7.718219,-4.485242367
261,-15.562568,4.39452219
266,-15.882745,11.13984489
270,-14.446798,17.56696892
275,-6.52483,15.2745142
280,1.106068,10.1849308
285,9.998271,0.757193923
290,15.591675,-9.68745327
295,16.062239,-15.66699314
299,13.234004,-16.44465637
304,3.813023,-12.5323391
309,-6.845007,-4.367997646
314,-15.44614,4.420805454
319,-15.999174,11.27145195
324,-13.432902,17.51426697
328,-7.504767,15.26740932
333,1.552376,10.11795902
338,9.600474,0.7428678274
343,15.387926,-9.816657066
348,16.198072,-15.64313316
353,11.342046,-16.41362572
357,4.278736,-12.45815754
362,-6.505425,-4.367990971
367,-15.290902,4.492627621
372,-16.426077,11.28106403
377,-13.491116,17.57408714
382,-5.515785,15.16445923
386,1.562078,10.09645081
391,9.712051,0.6375697851
396,14.616589,-9.811859131
401,15.193879,-15.69330692
406,12.026062,-16.44219589
411,2.551718,-12.37436676
415,-6.32108,-4.284282207
420,-15.106558,4.566761494
425,-16.469738,11.24513626
430,-14.107216,17.66501617
435,-5.772898,15.14770699
440,2.964068,10.06769657
444,9.678093,0.5227149725
449,14.844594,-9.857328415
454,14.762124,-15.73649406
459,12.127936,-16.41831589
464,2.658444,-12.3743906
469,-8.295508,-4.234022617
473,-14.441947,4.595490932
478,-17.01792,11.40307713
483,-14.407988,17.61000633
488,-6.044563,15.14538956
493,3.085347,10.02952957
498,10.561007,0.505987525
503,16.571612,-9.988924026
507,15.038641,-15.73648262
512,12.836208,-16.37762451
517,3.410376,-12.32892513
522,-8.174229,-4.171789646
527,-14.941618,4.669686794
532,-15.65474,11.44137478
536,-14.340072,17.60289001
541,-6.946882,15.1598196
546,2.284903,9.921768188
551,10.240829,0.4222444594
556,16.527952,-9.996106148
561,15.708103,-15.75794506
565,12.947785,-16.42308235
570,2.910705,-12.26436043
575,-7.446553,-4.071229458
580,-15.276349,4.691272259
585,-15.843936,11.44610405
590,-13.01085,17.70095634
594,-8.504109,15.04958439
599,1.814339,9.907427788
604,10.20202,0.3074220717
609,16.498845,-10.04871845
614,16.227179,-15.79622746
619,11.832015,-16.37283134
623,3.521953,-12.28340149
628,-7.451404,-3.985100269
633,-14.543821,4.741421223
638,-16.673487,11.59685898
643,-13.127278,17.58848381
648,-5.282929,15.04002285
652,2.047196,9.869139671
657,10.114699,0.2738966048
662,15.484949,-10.18988609
667,16.329054,-15.77946854
672,12.549989,-16.35601425
677,1.382585,-12.22598076
681,-7.660005,-3.934842587
686,-14.674803,4.789340496
691,-16.77051,11.63041973
696,-12.957487,17.62438011
701,-5.957242,15.037673
706,3.313352,9.78060627
710,8.901905,0.2404054701
715,15.606229,-10.21141243
720,15.392777,-15.78425217
725,12.491774,-16.40870476
730,2.061749,-12.11113071
735,-9.139613,-3.853464603
740,-15.455842,4.839640141
744,-17.066432,11.55626392
749,-13.767633,17.75122833
754,-6.602449,14.9468298
759,2.72636,9.802158356
764,9.944908,0.08249989152
769,16.678338,-10.2305336
773,15.586824,-15.86318588
778,12.938083,-16.34646797
783,2.425587,-12.13739491
788,-7.936522,-3.786451817
793,-15.349116,4.858811855
798,-14.873701,11.74053288
802,-14.223644,17.62914085
807,-7.208845,14.98746109
812,2.183029,9.713641167
817,9.988568,0.02270832658
822,15.499503,-10.32862091
827,15.426735,-15.85838604
831,13.248558,-16.32253456
836,2.818532,-12.1134901
841,-7.946224,-3.714651585
846,-15.222986,4.916258335
851,-16.033132,11.76913261
856,-12.127936,17.67700005
860,-7.383488,14.92765617
865,1.654251,9.677750587
870,9.770266,-0.06096705794
875,15.863341,-10.33335209
880,15.038641,-15.87513065
885,10.881184,-16.37754631
889,3.497697,-12.01304626
894,-7.567832,-3.681155682
899,-15.320009,4.992825031
904,-15.475247,11.72382736
909,-12.826505,17.74656487
914,-5.268376,14.89910507
918,1.421394,9.651428223
923,9.838182,-0.1902461946
928,15.742061,-10.39562988
933,15.94096,-15.88237
